PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SI-SCIA;demolizione di pareti divisorie interne, ricostruzione di tramezzi per la creazione di nuovi ambienti interni e rinforzi strutturali laddove necessario;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-23T00:00:00.000+02:00;2021-10-23T00:00:00.000+02:00;CORSO VENTIDUE MARZO N.  33  PIANO 1;9.21594945673243;45.4623478039791;45.4623478039791, 9.21594945673243
SI-SCIA;opere di manutenzione straordinaria con modifiche degli spazi interni con lievi  opere strutturali;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-22T00:00:00.000+02:00;2021-10-22T00:00:00.000+02:00;VIA BIXIO NINO N.  42;9.21397555464;45.4727331782;45.4727331782, 9.21397555464
comunicazione inizio attività edilizia libera;posa di scale a chiocciola accesso alla copertura esterne;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2018-10-21T00:00:00.000+02:00;2021-10-21T00:00:00.000+02:00;VIA NEGROTTO MICHELE N.  31 / 10;9.14666316596;45.504096309;45.504096309, 9.14666316596
SCIA alternativa a PDC;recupero abitativo porzione sottotetto - VIA CAGNOLA, 12 - ang. VIA CIRILLO - NESSUN INCENTIVO UCREDIL;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2018-10-20T00:00:00.000+02:00;2021-10-20T00:00:00.000+02:00;VIA CAGNOLA LUIGI N.  12 / 14a  PIANO 5;9.17274484685;45.4775783662;45.4775783662, 9.17274484685
SCIA alternativa a PDC;via filippo corridoni n. 15 - ristrutturazione pesante (piani rialzato e primo) e ristrutturazione leggera (piano seminterrato);SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2018-10-20T00:00:00.000+02:00;2021-10-20T00:00:00.000+02:00;VIA CORRIDONI FILIPPO N.  15;9.20165386223537;45.4637043948019;45.4637043948019, 9.20165386223537
SCIA;"SCIA in variante (art 22.2bis del DPR 380/2001) - Modifica della distribuzione  interna senza aumenti di superficie e volumetria;  modifica larghezza d de vetrine al piano terra su  corso Garibaldi; modifica della tipologia di alcuni serramento prospiciente il  cortile interno non visibili dagli spazi pubblici.";SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-10-20T00:00:00.000+02:00;2021-10-20T00:00:00.000+02:00;VIA TIVOLI N.  4;9.18359756745;45.472102297;45.472102297, 9.18359756745
comunicazione inizio attività edilizia libera;MILANO, VIA CHIETI 9/1, FRAZIONAMENTO DI UNITA' IMMOBILIARE IN DUE UNITA'  IMMOBILIARI A PIANO TERZO (N. 03) E PIANO QUARTO (N. 04), CON CHIUSURA DI N. 1  PORTA AD OGNI PIANO (P.3 E P.4).;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2018-10-20T00:00:00.000+02:00;2021-10-20T00:00:00.000+02:00;VIA CHIETI N.  9 / 1  PIANO 3-4;9.16345964242982;45.4849830713801;45.4849830713801, 9.16345964242982
SI-SCIA a sportello;SCIA A VARIANTE SCIA -  via Dei Cinquecento, 1;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-10-19T00:00:00.000+02:00;2021-10-19T00:00:00.000+02:00;VIA DEI CINQUECENTO N.  1;9.22276781774;45.4364985826;45.4364985826, 9.22276781774
SCIA alternativa a PDC;Via Macedonio Melloni n. 49 - Diversa distribuzione spazi interni, rifacimento impianti recupero seminterrato.;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2018-10-19T00:00:00.000+02:00;2021-10-19T00:00:00.000+02:00;VIA MELLONI MACEDONIO N.  49;9.21672179717;45.466722424;45.466722424, 9.21672179717
SCIA alternativa a PDC;NEGROLI 10/B - recupero porzione di sottotetto ai fini abitativi con modifica di una porzione di falda senza modifica della linea di colmo e di gronda. scia alternativa a PDC in variante a w.f. 28658/2018;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2018-10-19T00:00:00.000+02:00;2021-10-19T00:00:00.000+02:00;VIA NEGROLI N.  10 / B  PIANO 7;9.23265287254;45.4632938501;45.4632938501, 9.23265287254
SI-SCIA;AL Piano RIALZATO a d uso RESIDENZIALE. Diversa distribuzione degli spazi interni. Realizzazione di nicchia in  corrispondenza di un muro portante e di nicchia nel wc. Apposizione di grate esterne di sicurezza in ferro colore nero collocate a filo facciata dell'edificio.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-19T00:00:00.000+02:00;2021-10-19T00:00:00.000+02:00;VIA PANIZZA BARTOLOME N.  1  PIANO Rialzato;9.16354902352;45.4638483219;45.4638483219, 9.16354902352
SI-SCIA;V.LE MOLISE 51 - cambio di destinazione da negozio ad abitazione - modifiche interne e  formazione di soppalco art. 99.8;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-18T00:00:00.000+02:00;2021-10-18T00:00:00.000+02:00;VIALE MOLISE N.  51  PIANO t;9.2238402033909;45.4565509287989;45.4565509287989, 9.2238402033909
SCIA Condizionata;SCIA IN VARIANTE A PERMESSO DI COSTRUIRE n.220 16/10/2017 (e successiva  variante SCIA 29/06/2018 PROGR.22594/2018) *** UNITA A VARIANTE PROGR 10811/2019 ***;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-10-18T00:00:00.000+02:00;2021-10-18T00:00:00.000+02:00;VIA GIOIA MELCHIORRE N.  181;9.20781585952004;45.4967550223665;45.4967550223665, 9.20781585952004
SI-SCIA Unica;VLE ALEMAGNA EMILIO N.  14    OPERE DI MANUTENZIONE STRAORDINARIA;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-18T00:00:00.000+02:00;2021-10-18T00:00:00.000+02:00;VLE ALEMAGNA EMILIO N.  14;9.1722481198;45.4738416179;45.4738416179, 9.1722481198
SI-SCIA;manutenzione straordinaria;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-18T00:00:00.000+02:00;2021-10-18T00:00:00.000+02:00;VIA MONTEGANI LODOVIC N.  14  PIANO T;9.17790796724;45.4358828566;45.4358828566, 9.17790796724
comunicazione inizio attività edilizia libera;frazionamento e accorpamento di unità immobiliari con demolizione e costruzione di tavolati;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2018-10-18T00:00:00.000+02:00;2021-10-18T00:00:00.000+02:00;PIAZZALE MARTINI FERD N.  1 PIANO 1;9.22033146366;45.4576456599;45.4576456599, 9.22033146366
comunicazione inizio attività edilizia libera;MODIFICA DELL'ACCESSO AD ESERCIZIO COMMERCIALE (la presente CILA è da  intendersi in variante alla CILA PG365840/2018 e progressivo 28985/2018);CILA 8 -  Altri interventi non riconducibili all'elenco di cui agli articoli 6/10/22 del d.P.R. 6 giugno 2001 n. 380 [Attività n. 30 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222] (specificare il tipo di intervento) ..........................................................................................................................................;2018-10-18T00:00:00.000+02:00;2021-10-18T00:00:00.000+02:00;VIALE LUCANIA N.  6  PIANO T;9.22453379146;45.4409771793;45.4409771793, 9.22453379146
SI-SCIA;Opere di manutenzione straordinaria con lievi opere strutturali (spostamento di  scala interna per accesso al locale sottotetto);SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-17T00:00:00.000+02:00;2021-10-17T00:00:00.000+02:00;VIA LAMBRO N.  2;9.20826124712;45.4737726138;45.4737726138, 9.20826124712
comunicazione inizio attività edilizia libera;CILA -  in Via  Caracciolo,72;CILA 8 -  Altri interventi non riconducibili all'elenco di cui agli articoli 6/10/22 del d.P.R. 6 giugno 2001 n. 380 [Attività n. 30 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222] (specificare il tipo di intervento) ..........................................................................................................................................;2018-10-17T00:00:00.000+02:00;2021-10-17T00:00:00.000+02:00;VIA CARACCIOLO FRANCE N.  72;9.16257145912;45.4917471171;45.4917471171, 9.16257145912
SI-SCIA;Prolungamento corsa ascensore per raggiungere il piano sesto e formazione di  vano tecnico in copertura.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-17T00:00:00.000+02:00;2021-10-17T00:00:00.000+02:00;VIA LONDONIO FRANCESC N.  14;9.16993834389;45.4796998077;45.4796998077, 9.16993834389
SI-SCIA;Creazione soppalco interno con inserimento scala e modifiche in facciata;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-17T00:00:00.000+02:00;2021-10-17T00:00:00.000+02:00;VIA GIOVANNI DA MILAN N.  18;9.2258913647;45.4696259309;45.4696259309, 9.2258913647
autorizzazione;APERTURA DI PORTA PER SBARCO ASCENSORE AL P.T RICHIESTA IN DEROGA PER IMPIANTO  ESISTENTE;PDC 1.5 Varianti in corso d'opera a permessi di costruire che presentano i caratteri delle variazioni essenziali (Attivita' n. 37 - Tabella A - Sez. II del d.lgs. 222/2016);2018-10-16T00:00:00.000+02:00;2022-10-16T00:00:00.000+02:00;VIA MOROSINI EMILIO N.  20  PIANO T;9.21092549787;45.4596562791;45.4596562791, 9.21092549787
SI-SCIA;Via Lamarmora 30;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-15T00:00:00.000+02:00;2021-10-15T00:00:00.000+02:00;VIA LAMARMORA ALFONSO N.  30;9.20131595079;45.4568707898;45.4568707898, 9.20131595079
SI-SCIA;variazione segnalazione certificata inizio attività ***unita a pratica WF 16755/2016***;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-15T00:00:00.000+02:00;2021-10-15T00:00:00.000+02:00;VIA TIEPOLO GIAN BATT N.  28;9.22005775834;45.4717232002;45.4717232002, 9.22005775834
SI-SCIA;completamento cornicione di gronda;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-15T00:00:00.000+02:00;2021-10-15T00:00:00.000+02:00;VIALE DEI MILLE N.  23;9.21695980646;45.4713422051;45.4713422051, 9.21695980646
SCIA Unica alternativa a PDC;Scia per recupero sottotetto artt. 63/64/65 L.R. 12/05 via Principe Eugenio 12- no sconto-unita a var wf 14012/19;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2018-10-15T00:00:00.000+02:00;2021-10-15T00:00:00.000+02:00;VIA PRINCIPE EUGENIO N.  12  PIANO 6;9.16327361652;45.4887636425;45.4887636425, 9.16327361652
SI-SCIA;"Risanamento conservativo leggero della facciata interna e della copertura della  stessa; ripristino intonaco muro di confine, asportazione e posa reti poste  sulla sommità; formazione di tettoia";SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-15T00:00:00.000+02:00;2021-10-15T00:00:00.000+02:00;VIA PIER LUIGI DA PAL N.  7;9.21377792953;45.4851390488;45.4851390488, 9.21377792953
comunicazione inizio attività edilizia libera;opere interne, modifica serramenti, trasformazione dell'attuale passo carrabile in porta d'accesso e realizzazione di un secondo accesso (entrambi da via Mecenate), rifacimento bagni, riapertura vani scale e adeguamento impIanti - aggiorna e sostituisce la pratica CILA  pg 338277/2017 del 21.07.17;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2018-10-14T00:00:00.000+02:00;2021-10-14T00:00:00.000+02:00;VIA MECENATE N.  84 PIANI T - S1;9.24971832661507;45.4513980953001;45.4513980953001, 9.24971832661507
comunicazione inizio attività edilizia libera;CILA - realizzazione tavolati - in Via Marochetti, 3;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2018-10-14T00:00:00.000+02:00;2021-10-14T00:00:00.000+02:00;VIA MAROCHETTI CARLO N.  3;9.22540008371;45.4396281823;45.4396281823, 9.22540008371
